,fname,dialogue
2950,train_2950,"#Person1#: 크라운 호텔. 예약 데스크입니다. 도와드릴 일이 있으신가요?
#Person2#: 네, 여러분 호텔에 방을 예약하고 싶습니다.
#Person1#: 어떤 종류의 방을 원하시나요, 선생님? 우리 호텔에는 싱글룸, 더블룸, 스위트룸, 그리고 디럭스 스위트룸이 있습니다.
#Person2#: 10월 2일 오후부터 10월 6일 아침까지 욕조가 있는 싱글룸을 예약하고 싶습니다.
#Person1#: 알겠습니다.
#Person2#: 요금은 얼마인가요?
#Person1#: 현재 요금은 밤당 $ 100입니다.
#Person2#: 그 요금에 포함되는 서비스는 무엇인가요?
#Person1#: $ 100에는 라디오, 컬러 텔레비전, 전화기, 그리고 매일 국제 신문이 방으로 배달됩니다.
#Person2#: 그것은 전혀 나쁘지 않네요. 그 방을 예약하겠습니다."
2952,train_2952,"#Person1#: 좋아요, 이제 당신의 이전 직장에 대해 더 알아보고 싶습니다. 런던 위클리에서 거의 4년 동안 근무했다고 보이는데, 맞나요?
#Person2#: 네, 맞습니다. 솔직히 말해서 첫 해는 저에게 꽤 힘들었습니다. 저는 그저 인턴처럼 대우받았습니다. 많은 책임이 없었고, 그것이 꽤나 실망스러웠습니다.
#Person1#: 그럼, 무엇이 바뀌었나요?
#Person2#: 천천히 하지만 확실히 제 자신을 증명했고, 새로운 편집장이 저를 좋아해서 특집 기자로 승진시켰습니다.
#Person1#: 와우, 정말로 한 단계 올라갔네요!
#Person2#: 네, 주로 식당과 음식 리뷰를 담당했습니다. 그 자리에서 3년 동안 근무했지만, 솔직히 말해서 저는 장기적으로 그 분야의 저널리즘에 머물고 싶지 않았습니다.
#Person1#: 알겠습니다, 그럼 결국 왜 그만두기로 결정했나요?
#Person2#: 그 신문이 저에게 새로운 기회를 제공할 수 없다고 느꼈습니다. 솔직히 말해서, 저는 더 도전적인 역할이 필요했습니다."
2959,train_2959,"#Person1#: 여보세요?
#Person2#: 안녕하세요, 스텔라님. 피터입니다.
#Person1#: 안녕하세요, 피터님. 오랜만에 목소리 듣네요! 어떻게 지내세요?
#Person2#: 아주 잘 지내고 있습니다. 이번 여름에 가족들과 함께 멤피스로 여행을 계획하고 있어요.
#Person1#: 좋아요! 여기서 여러분을 맞이하고 싶네요. 언제 오실 예정이세요?
#Person2#: 6월 20일에 보스턴을 떠나서 미주리주 세인트루이스에서 일주일을 머물다가 여러분이 계신 도시로 날아갈 예정입니다. 아마도 여러분과 함께 5일 정도 머물다가 돌아갈 것 같아요. 휴가 기간이 2주니까요.
#Person1#: 여기서 특별히 하고 싶은 것이 있나요?
#Person2#: 비일 스트리트, 공식적인 블루스의 고향을 탐험하고 싶어요. 그곳에서 라이브 음악을 들을 수 있거든요. 또한 엘비스 프레슬리를 기리는 유명한 박물관인 그레이스랜드를 방문하고 싶어요. 하지만 무엇보다도 여러분과 시간을 보내고 싶어요.
#Person1#: 물론이죠! 마지막으로 만난 지가 언제인지도 기억이 안 나네요. 제 정원에서 저녁 파티를 열어요.
#Person2#: 좋아요! 아, 혹시 우리가 머물 수 있는 호텔을 찾아주실 수 있나요? 크지 않아도 되는데, 잠자는 동안 소음이 싫어요.
#Person1#: 물론이죠.
#Person2#: 감사합니다. 곧 뵙겠습니다."
2961,train_2961,"#Person1#: 이 사진 좀 봐봐! 이게 대피라미드야?
#Person2#: 맞아. 나 그거 많이 찍었어.
#Person1#: 너 이집트에 갔다는 거야? 언제 갔어?
#Person2#: 지난 여름에. 정말 흥미로웠어.
#Person1#: 대피라미드에 대해 좀 더 말해봐.
#Person2#: 정말 높았어, 대략 137미터 정도? 한 변의 길이는 230미터 정도였어.
#Person1#: 그리고 매우 오래되었지?
#Person2#: 그래, 대략 4500년의 긴 역사가 있어.
#Person1#: 정말이야? 믿을 수가 없어!
#Person2#: 그래, 보는 것이 믿는 것이지. 너도 직접 가서 봐야 해.
#Person1#: 좋아 들어. 그럼 내 다음 휴가는 이집트에서 보내야겠어.
#Person2#: 그런데, 너 지난 여름 휴가 어디서 보냈어?
#Person1#: 나 일본에 갔었는데 그리 재미있지 않았어.
#Person2#: 너 이집트에서는 정말 재미있게 놀 수 있을 거야."
2967,train_2967,"#Person1#: 수영 좋아하세요? 
#Person2#: 네. 수영은 제가 가장 좋아하는 스포츠 중 하나입니다, 실내든 실외든요. 
#Person1#: 저도요. 수영은 건강에 아주 좋은 운동입니다. 물, 목욕, 일광욕, 공기욕을 모두 결합합니다. 근육, 뼈, 내장, 신경계의 성장과 건강을 촉진합니다. 
#Person2#: 수영이 이렇게 많은 이점을 가져다 줄 수 있다는 것을 전혀 생각하지 못했습니다. 저는 큰 파도와 깊은 물에서 수영하는 것이 사람들의 정신을 단련시키고, 어려움, 위험, 곤란을 두려워하지 않게 하며, 용감하고 강인하게 만든다는 것만 알고 있었습니다. 
#Person1#: 강이나 호수에서 수영해 본 적 있나요? 
#Person2#: 네, 하지만 항상 그런 것은 아닙니다. 그러나 기회가 있다면 절대로 놓치지 않을 것입니다."
2970,train_2970,"#Person1#: 안녕하세요, 이곳은 썬샤인 트레이딩 회사입니다. 도와드릴 일이 있으신가요? 
#Person2#: 네. 저는 귀사의 회계사로 지원하고 싶습니다. 그리고 그것이 불가능하지 않다고 생각합니다. 
#Person1#: 좋습니다. 현금 관리에 대해 얘기해주실 수 있나요? 
#Person2#: 네, 물론입니다. 회계에서 현금은 은행에 입금할 수 있는 모든 항목을 의미합니다."
2971,train_2971,"#Person1#: 실례합니다, 우리가 너무 많이 주문했는데, 음식을 집으로 가져가도 될까요?
#Person2#: 네, 됩니다.
#Person1#: 그럼 추가 비용을 내야 하나요?
#Person2#: 아니요, 그럴 필요 없습니다. 무료입니다.
#Person1#: 그럼 이것과 저것을 강아지 봉투에 넣어 주시겠어요?
#Person2#: 물론이죠, 잠시만 기다려 주시겠어요?
#Person1#: 네, 감사합니다, 다른 부탁을 드려도 될까요?
#Person2#: 네, 무엇인가요?
#Person1#: 우리에게 좀 더 중국 차를 주실 수 있을까요?
#Person2#: 네, 잠시만요, 곧 돌아올게요."
2972,train_2972,"#Person1#: 오, 당신의 아기 너무 귀여워요.
#Person2#: 귀엽지만, 저는 너무 피곤해요. 아기가 잠을 안 자요. 출산 후에는 많이 잤는데, 이제는 밤새도록 깨어 있어요.
#Person1#: 아기가 많이 울어요?
#Person2#: 지난 주에는 매일 밤 울었어요. 일할 때 항상 피곤해요. 의사에게 데려갔더니 아기는 건강하다고 했어요.
#Person1#: 네, 아기들이 울음소리를 내는 것은 정상이에요. 이번 주말에는 베이비시터를 고용하고 푹 쉬세요."
2973,train_2973,"#Person1#: 옆에 있는 분이 당신의 영어 선생님인가요? 꽤 엄격해 보이네요.
#Person2#: 네, 그렇지만 그녀의 수업은 매우 체계적이고 명확해요. 우리 모두 그녀를 매우 좋아해요.
#Person1#: 안경을 쓴 검은 머리의 이 여자는 누구인가요?
#Person2#: 아, 그녀는 제 최고의 친구에요. 우리 반은 지난달에 봄 나들이로 바닷가에 갔고, 그때 찍은 사진이에요."
2975,train_2975,"#Person1#: 벤, 너 정말 많은 옷을 싸왔네.
#Person2#: 그럼, 이건 출장이니까요. 그리고 가는 곳마다 날씨가 다르니까요.
#Person1#: 일요일에는 청바지를 입고 여행하겠지?
#Person2#: 네, 월요일에는 회사 사장님을 만나야 하니까 그때는 정장을 입어야 해요. 청바지는 안 돼요.
#Person1#: 화요일에는 뭐하러 가는 거야?
#Person2#: 남쪽에 있는 공장을 방문하러 가는데, 이 회색 바지를 싸왔어요. 가볍고, 자켓은 필요 없을 거예요. 35도가 될 거니까요.
#Person1#: 그럼 수요일에는 산에 가는 거지.
#Person2#: 네, 자켓만 입으면 충분히 따뜻할 거예요. 그날을 위해 코트도 가져왔어요.
#Person1#: 스웨터도 가져가는 거야?
#Person2#: 짐에 공간이 좀 남아서요. 목요일에는 우리가 신혼여행을 다녔던 바닷가에 있을 거예요. 그래서 수영복도 가져가요.
#Person1#: 그럼 금요일에는 어떻게 할 거야?
#Person2#: 동료들과 점심을 먹으러 가는데, 네가 사준 파란 셔츠를 입을 거예요. 여기 보세요, 정장 밑에 있어요.
#Person1#: 아, 좋아."
2981,train_2981,"#Person1#: 안녕하세요, 도와드릴까요?
#Person2#: 저, 겨울 옷을 찾고 있는데요. 여기서 겨울 의류에 대한 사전 시즌 세일을 하고 있다는 것을 알게 되었어요.
#Person1#: 네, 모든 상품이 25% 할인 중입니다.
#Person2#: 이 스웨터와 잘 어울릴 스커트가 있나요?
#Person1#: 네, 스웨터와 잘 어울리는 스커트와 슬랙스가 있습니다. 특히 이 꽃무늬 스커트를 추천드리고 싶네요. 올해 스타일에 매우 잘 어울립니다.
#Person2#: 제 피부톤에 그 녹색은 잘 어울리지 않을 것 같아요. 그 스커트를 검정색이나 베이지색으로는 없나요?
#Person1#: 오른쪽에 있는 랙을 보세요.
#Person2#: 아, 그렇군요. 이제 탈의실이 어디 있는지만 알려주시면 될 것 같아요. 이걸 입어보는 데 정말 기대되네요."
2983,train_2983,"#Person1#: 정말 멋진 넥타이를 매고 계시네요!
#Person2#: 감사합니다. 하지만 정말 괜찮아 보이나요?
#Person1#: 물론이죠. 당신의 정장과 완벽하게 어울립니다.
#Person2#: 그럼 제 스웨터와도 잘 어울리나요?
#Person1#: 네. 오늘 정말 멋있어 보입니다.
#Person2#: 정말 감사합니다."
2984,train_2984,"#Person1#: 우리가 알다시피, 휴대폰은 사람들에게 큰 편리함을 제공하고 친구나 친척들 사이의 거리를 줄입니다.
#Person2#: 많은 장점이 있지만, 약점도 있습니다.
#Person1#: 그렇군요? 저는 휴대폰의 단점을 생각해 본 적이 없습니다.
#Person2#: 예를 들어, 휴대폰은 사람들이 일이나 공부에 집중하는 것을 심각하게 방해합니다.
#Person1#: 그건 사실이네요. 일부 사람들은 휴대폰에 너무 많은 주의를 기울입니다.
#Person2#: 사실, 이는 휴대폰의 잘못이 아닙니다. 하지만 사람들은 휴대폰에 대해 적절한 태도를 가져야 합니다. 휴대폰은 사람들을 위한 도구이지, 그들을 제한하는 족쇄가 아닙니다."
2986,train_2986,"#Person1#: 사이프러스로의 휴가는 어땠어요?
#Person2#: 너무 환상적이어서 진짜로 집에 오고 싶지 않았어요.
#Person1#: 혹시 누군가를 만났나요?
#Person2#: 어떻게 알았어요?
#Person1#: 당신이 사랑에 빠졌을 때 항상 이런 행동을 해요. 그는 누구인가요? 어떻게 만났나요?
#Person2#: 그의 이름은 토니이고, 저는 파토스에서 첫날 밤에 만났어요. 그는 저의 여동생과 함께 일하는데, 여동생이 거기에 살아요.
#Person1#: 첫눈에 반한 건가요?
#Person2#: 사실 그렇지는 않아요. 저는 휴가 로맨스를 찾고 있지 않았지만, 여동생이 그에게 저와의 소개팅을 약속했다고 말해줬어요. 잃을 것이 없다고 생각해서 가봤어요.
#Person1#: 그리고?
#Person2#: 그냥 세 번째 데이트 때 우리 둘 다 사랑에 빠졌다는 것을 깨달았다고 말하면 될 것 같아요.
#Person1#: 빠르게 일어났네요! 다시 그를 만날 계획이에요?
#Person2#: 다행히도, 그의 회사에 여기서 일할 수 있는 자리가 있어서, 그가 이사를 할 수 있는지 확인해볼 거예요.
#Person1#: 그가 당신에게 미친 듯이 사랑하는 것 같아요. 이렇게 진지한 관계에 대해 준비가 되어 있나요?
#Person2#: 글쎄요, 저도 이제 봄치기는 아니니까요. 무슨 일이 일어날지 모르죠."
2988,train_2988,"#Person1#: 이 물건들을 차로 가져다 줄 수 있을까요?
#Person2#: 네, 어느 차에 넣으라는 건가요?
#Person1#: 아내의 차로 가져다 주세요.
#Person2#: 어느 차가 그녀의 차인가요?
#Person1#: Honda 앞에 있는 파란색 SUV입니다.
#Person2#: 무엇을 먼저 가져가야 하나요?
#Person1#: 저기 있는 그 의자인데, 조심스럽게 다뤄 주세요. 시어머니께서 선물로 주신 거거든요.
#Person2#: 걱정 마세요, 떨어뜨리지 않을게요. 와, 정말 무거워요. 혼자서는 옮길 수 없을 것 같아요.
#Person1#: 제가 도와드릴게요. 당신이 등을 다치는 건 원치 않아요.
#Person2#: 이 모든 물건들을 어디로 가져가는 건가요?
#Person1#: 말하지 않았나요? 우리는 플로리다로 이사가는 거예요.
#Person2#: 지금 이사가는 건가요? 이사를 가신다는 건 알았지만, 다음 달에 가신다고 했던 것 같은데요.
#Person1#: 그렇긴 한데, 아내가 며칠 전에 인터넷에서 새 아파트를 찾아서 바로 이사가고 싶어하더군요."
2990,train_2990,"#Person1#: 언제 태어났는지 여쭤봐도 될까요?
#Person2#: 1963년 5월 20일입니다.
#Person1#: 그것이 음력으로는 언제인지 아시나요?
#Person2#: 4월 27일입니다.
#Person1#: 그런데, 영화는 언제 시작하나요?
#Person2#: 오후 5시 30분에 시작합니다.
#Person1#: 제가 그 시간에는 도착할 수 없을 것 같아요.
#Person2#: 내일 보실 수 있어요.
#Person1#: 오늘 놓치고 싶지 않아요."
2991,train_2991,"#Person1#: 봐, Forest Gump이 여섯시 반에 방영돼.
#Person2#: 정말이야? 처음으로 1994년에 방영됐었지. 그리고 정말로 클래식이야.
#Person1#: 응, 나는 Tom Hanks가 영화에서 보여준 연기에 매우 감명받았어.
#Person2#: 나도 영화 속 대사들에 감명받았어.
#Person1#: 인생은 초콜릿 상자와 같아, 무슨 맛이 날지 절대 알 수 없어.
#Person2#: 그게 제일 좋아.
#Person1#: 알고 있지, 이 영화는 1995년에 6개의 오스카 상을 받았어. 믿을 수 없어!
#Person2#: 그만한 가치가 있어. 그 영화는 우리에게 많은 영감을 줄 수 있어.
#Person1#: 그래, Forrest의 경험은 곤경에 처한 사람들에게 용기를 줄 수 있어.
#Person2#: 결국, 그것은 절대로 매력을 잃지 않을 거야.
#Person1#: Gucci, 생각이 나. 이 영화를 같이 볼래?
#Person2#: 그럼. 이제 말이 통하네."
3002,train_3002,"#Person1#: 와, 저기 페리스 휠이 정말 크네요. 저거 타보고 싶어요.
#Person2#: 그건 에너지 컬렉터라고 불러요.
#Person1#: 오른쪽을 보세요. 저건 잃어버린 마야 왕국의 구역인가요?
#Person2#: 아마도요. 아, 저는 정글 플라잉 트레인을 보네요. 한번 타봤는데 정말 신나더라고요.
#Person1#: 나중에 저도 한번 타보고 싶어요.
#Person2#: 저도요. 다니엘, 왼쪽을 보세요. 에어 포스 앤츠를 보이나요?
#Person1#: 와, 제가 제일 좋아하는 거예요. 마치 슈퍼맨이 하늘로 쏘아올라가는 것 같아요.
#Person2#: 좋아요, 여기서 꿈을 이룰 수 있을 거예요.
#Person1#: 물론이죠. 이걸 탄 후에는 귀신의 집을 보여드리려고요.
#Person2#: 그럼 당신이 남자임을 증명할 수 있겠네요.
#Person1#: 바로 그거예요!
#Person2#: 그건 바로 당신이죠!"
3005,train_3005,"#Person1#: 이게 우리 버스 정류장인가요?
#Person2#: 그런 것 같아요. 내려요.
#Person1#: 친구, 우리 지금 어디에 있어?
#Person2#: 나도 모르겠어.
#Person1#: 이게 맞는 정류장인 줄 알았는데.
#Person2#: 나한테는 맞아 보이지 않아.
#Person1#: 너 때문에 일찍 내렸나?
#Person2#: 그런 것 같아.
#Person1#: 너를 듣지 말았어야 했어.
#Person2#: 정말 우리 정류장인 줄 알았어.
#Person1#: 이제 걸어가야 해.
#Person2#: 아마 다음 버스를 기다리는 게 나을 거야."
3006,train_3006,"#Person1#: 봐! 잘 작동하지 않아. 너 이걸 살 때 시험 운행 해봤어?
#Person2#: 아니, 필요 없어. 만약에 손상되지 않았다면 우리는 이걸 두 일 내로 교환할 수 있어.
#Person1#: 하지만 시험 운행을 해봤다면 많은 문제를 피할 수 있었을 텐데.
#Person2#: 알아. 다음 번에는 그런 것에 주의할게."
3008,train_3008,"#Person1#: 아담스 부인, 좋은 아침입니다. 오늘 기분이 어떠세요?
#Person2#: 오, 그다지 좋지 않아요. 감기에 걸린 것 같아요.
#Person1#: 체온이 높아진 것 같나요?
#Person2#: 네, 열이 나요.
#Person1#: 기침도 하시나요?
#Person2#: 네, 특히 밤에는 더 심해요. 그래서 잠을 못 자요.
#Person1#: 아, 알겠습니다. 그런 상황이라면 이해가 가요. 음, 제 생각에는 당신이 독감에 걸린 것 같아요. 일을 쉬고, 이 약을 4시간마다 한 번씩 복용하는 것이 좋을 것 같아요. 또 무엇을 해야 하나요? 물을 많이 마시고 충분히 쉬세요. 알겠습니다. 감사합니다. 안녕히 계세요! 안녕히 계세요!"
3009,train_3009,"#Person1#: 안녕, 데이브. 여기까지 와줘서 고마워. 들어와.
#Person2#: 와. 파티가 활기차 보이네.
#Person1#: 그래. 그리고 내 음식을 다 먹어치우고 있어. 아, 내 여동생 캐롤을 소개하고 싶어. 주말에 방문하러 왔어.
#Person2#: 오. 어떤 사람이야?
#Person1#: 저기 소파에 앉아 있는 그녀야.
#Person2#: 긴 검은 머리를 한 여자를 말하는 거야?
#Person1#: 맞아. 너한테 소개시켜 줄게. 너희 둘은 매우 비슷한 사람들이야, 둘 다 친절하고 모험적이거든.
#Person2#: 그럼 그 옆에 앉아 있는 남자는 누구야? 음, 자켓을 입은 남자.
#Person1#: 아, 그건 바로 내 발레 선생님인 밥이야.
#Person2#: 발레 선생님! 네가 발레에 관심이 있는 줄 몰랐어.
#Person1#: 대략 두 달 전에 시작했어. 가자. 너한테 그들을 소개시켜 줄게.
#Person2#: 가고 있어."
3010,train_3010,"#Person1#: 다른 물건을 사고 싶은 것이 있나요?
#Person2#: 아니요, 감사합니다. 이게 다인 것 같네요. 그런데, 이 CD 플레이어에 결함이 있다면 반품할 수 있나요?
#Person1#: 네. 하지만 30일 이내에 반품해야 합니다.
#Person2#: 그럼 비용이 드나요? 다른 상점들은 재고 보충 비용을 청구하던데요.
#Person1#: 전혀 비용이 들지 않습니다.
#Person2#: 그렇군요, 다행입니다.
#Person1#: 하지만, 영수증을 보여주셔야 합니다. 여기 서명해주시겠어요?
#Person2#: 네.
#Person1#: 좋습니다. 영수증을 잘 보관하세요. 문제가 생기면 보여주시면 환불해드릴게요.
#Person2#: 감사합니다. 안전한 곳에 보관하겠습니다."
3015,train_3015,"#Person1#: 안녕, 메리, 오늘 아침에 널 회사에서 못 봤어. 괜찮아? 
#Person2#: 아, 나 정말 못 느껴. 감기에 걸렸어, 머리가 어지럽고 코가 흐르고 있어. 
#Person1#: 아, 그런 일이 있었군요. 의사에게 보여주거나 약을 먹었어? 
#Person2#: 사실 그렇게 했어. 의사가 하루 이틀 안에 나아질 거라고 했어. 그가 몇 가지 알약을 처방했어. 
#Person1#: 기분이 좋아졌어? 
#Person2#: 응, 도움이 되지만 그냥 기다리고 내 몸이 일을 처리하게 놔둬야 해. 
#Person1#: 뭔가 필요한 거 있어, 식료품? 
#Person2#: 아, 아니, 괜찮아. 내 냉장고는 음식으로 가득 차 있어. 하지만 너한테 큰 불편함이 아니라면, 읽을 거리가 좋을 것 같아. 
#Person1#: 그럼, 내가 가져다 줄게. 책이나 잡지? 
#Person2#: 둘 다 좋아."
3016,train_3016,"#Person1#: 지금 주문하시겠습니까? 
#Person2#: 네, 스테이크 추천해주실 수 있나요? 
#Person1#: 그럼요. 페퍼 스테이크가 꽤 좋습니다. 많은 손님들이 아주 좋아하십니다. 
#Person2#: 좋아요, 그걸로 해볼게요. 작은 사이즈 있나요? 큰 건 다 먹지 못할 것 같아서요. 
#Person1#: 네, 여사님. 작은 사이즈로 드리겠습니다."
3019,train_3019,"#Person1#: 너는 정말 멋진 사람이야, 캐슬린. 
#Person2#: 너도 그래. 
#Person1#: 그리고 너가 나와 함께하고 싶어해줘서 정말 영광스러워. 왜냐하면 너는 정말로 가치 있는 사람이 아니면 절대 함께하지 않을 테니까. 
#Person2#: 나도 너와 같은 생각이야. 
#Person1#: 그런 말 하지 마, 하지 마, 하지 마, 하지 마. 그, 그 말은 상황을 더 나쁘게 만들어. 
#Person2#: 뭐? 너는 나를 사랑하지 않아? 나도 마찬가지야. 
#Person1#: 너는 나를 사랑하지 않아? 
#Person2#: 아니. 
#Person1#: 하지만 우리는 서로에게 너무 잘 맞아. 
#Person2#: 알아, 알아. 그럼, 누군가 다른 사람이 있는 건가? 아, 텔레비전에 나오는 그 여자, 시드니 앤."
3021,train_3021,"#Person1#: 너 내가 빌려준 그 소프트웨어 가져왔니? 
#Person2#: 아, 미안해. 완전히 잊어버렸어. 
#Person1#: 괜찮아. 내일만 가져다주면 고맙겠어. 
#Person2#: 반드시, 정말 미안해. "
3022,train_3022,"#Person1#: 어제 당신에게 무슨 일이 있었나요? 
#Person2#: 아, 출근하러 가는 길에 넘어졌어요. 
#Person1#: 아, 그래서 그런 거였군요. 그래서 출근하지 않았던 거였나요? 
#Person2#: 네, 그리고 제 휴대폰도 부서져서 전화할 수 없었어요. 
#Person1#: 아이고, 그게 참 끔찍하게 들리네요. 
#Person2#: 그랬어요! 하지만 가장 나쁜 것은 제가 가장 좋아하는 셔츠를 찢어버린 것이었어요. 
#Person1#: 아이고. 빨리 나아지길 바라고, 앞으로는 좀 더 조심하세요."
3024,train_3024,"#Person1#: 나 너무 심심해. 오늘 뭘 할지 모르겠는데 아직 오전 10시밖에 안 됐어.
#Person2#: 나도 그래. 우리가 지루한 사람들인 거 같아?
#Person1#: 우리가 지루한 사람들이라고 생각하지 않아. 그냥 우리가 취미가 없는 거야.
#Person2#: 그게 맞는 것 같아. 내가 취미로 뭘 해야 할까?
#Person1#: 그건 네가 무엇을 좋아하는지에 달려 있어. 나는 노트에 그림 그리는 걸 좋아해.
#Person2#: 나는 재미로 피아노 치는 걸 좋아해.
#Person1#: 응, 그게 좋은 취미가 될 수 있겠어.
#Person2#: 멋져. 내가 좋아하는 모든 것들의 목록을 만들어 볼 거야.
#Person1#: 좋은 생각이야. 나도 지금 그렇게 할 거야."
3027,train_3027,"#Person1#: 헤이, 짐. 일어나서 침대에서 나와야 할 시간이야.
#Person2#: 지금 일어나야 해?
#Person1#: 늦게 될 테니까 일어나는 게 좋을 거야.
#Person2#: 무슨 말이야? 내 알람은 아직도 울리지 않았는데.
#Person1#: 그런데, 울렸어. 30분 전에 울렸어. 넌 그냥 통과해서 잤어. 넌 잠자면 마치 죽은 사람처럼.
#Person2#: 그냥 통과해서 잤나 봐.
#Person1#: 일어나서 활기차게!
#Person2#: 나 좀 5분만 더 자게 해줘.
#Person1#: 일찍 일어나는 새가 벌레를 잡아.
#Person2#: 알아, 알아. 하지만 나는 벌레가 필요 없어.
#Person1#: 하하! 지금 노력하지 않으면 나중에 훨씬 더 힘들어질 거야."
3028,train_3028,"#Person1#: 새 차 어때?
#Person2#: 완벽해! 더 좋을 수 없어.
#Person1#: 그럼 잘 선택한 거야?
#Person2#: 내가 원하는 그대로야.
#Person1#: 후회는 없어?
#Person2#: 정말 만족스러워.
#Person1#: 네가 행복해서 기뻐.
#Person2#: 진짜 최고야."
3032,train_3032,"#Person1#: 양복, 어디로 가고 싶으세요?
#Person2#: 공항까지 데려다 주실 수 있나요?
#Person1#: 문제 없습니다.
#Person2#: 제 짐들에 대해 추가 요금을 내야 하나요?
#Person1#: 네, 짐 하나당 50센트가 추가됩니다.
#Person2#: 알겠습니다."
3048,train_3048,"#Person1#: 제가 도와드릴 일이 있을까요?
#Person2#: 15일간의 휴가가 있어서 영국으로 여행을 가고 싶습니다. 제게 잘 맞는 루트가 있을까요?
#Person1#: 네, 물론입니다. 이 루트는 어떠세요? 새로운 루트입니다.
#Person2#: 정말 좋네요. 그런데, 제가 사용할 수 있는 객실은 어떤 종류인가요?
#Person1#: 1등석입니다, 선생님."
3051,train_3051,"#Person1#: 먼저 스프 좀 드실래요?
#Person2#: 아니요, 감사합니다. 저는 스프를 좋아하지 않아요. 시작으로 과일 주스를 마시고 싶어요.
#Person1#: 알겠습니다, 그럼 메인 코스는 어떤 걸로 하시겠어요? 물고기와 고기 중 어떤 걸 더 선호하시나요?
#Person2#: 고기를 먹을 것 같아요.
#Person1#: 그럼 물고기는 좋아하지 않으신 건가요?
#Person2#: 아니요, 좋아하는데, 오늘은 고기를 먹고 싶어요.
#Person1#: 그럼 화이트 와인을 좀 드실까요?
#Person2#: 네, 하지만 고기와 함께는 레드 와인을 더 선호해요.
#Person1#: 디저트로는 무엇을 드시고 싶으세요?
#Person2#: 그냥 커피 한 잔 마시려고요.
#Person1#: 좋아요, 그럼 저녁 식사 후에 디스코에 가볼까요?
#Person2#: 아니요, 감사합니다. 바로 집에 가고 싶어요. 너무 피곤해요."
3053,train_3053,"#Person1#: 안녕하세요, 제 휴대폰을 켜주시겠어요?
#Person2#: 어떤 주소로 하시겠습니까, 선생님?
#Person1#: #Address#.
#Person2#: 알겠습니다. 성함이 어떻게 되십니까?
#Person1#: John Smith입니다.
#Person2#: 잠시만 기다려 주십시오. 좋습니다, 스미스씨. 몇 가지 질문을 드려야 합니다.
#Person1#: 좋습니다.
#Person2#: 인터뷰는 약 15분 정도 걸리며, 휴대폰은 24시간 내에 켜질 것입니다.
#Person1#: 15분이나 걸린다구요? 죄송하지만, 다시 전화해야겠습니다. 일을 다시 시작해야 해요.
#Person2#: 알겠습니다. 스미스씨. 전화 주셔서 감사합니다."
3054,train_3054,"#Person1#: 실례합니다. 방금 이걸 사고 영수증도 있습니다. 제가 잔돈을 적게 받은 것 같아요. 확인해주실 수 있나요?
#Person2#: 아, 정말요? 잠시만요. . . 당신은 십 달러 지폐로 지불하셨고 저는 당신에게. . . 아, 미안합니다, 여기 남은 오 달러가 있네요. 정말 죄송합니다."
3058,train_3058,"#Person1#: 실례합니다만, 기차역에 어떻게 가야 하나요?
#Person2#: 네, 45번 버스를 타셔야 합니다.
#Person1#: 그 버스가 바로 기차역까지 가나요?
#Person2#: 네, 버스에서 내리면 바로 앞에 기차역이 보일 거예요.
#Person1#: 좋습니다, 그런데 버스 정류장은 어디에 있나요?
#Person2#: 이 길을 계속 직진하다가 첫 번째 교차로에서 오른쪽으로 꺾으세요. 놓칠 수 없어요.
#Person1#: 감사합니다. 얼마나 걸리나요?
#Person2#: 길이 너무 막히지 않으면, 대략 반 시간 정도 걸릴 것입니다.
#Person1#: 정말 감사합니다.
#Person2#: 천만에요."
3059,train_3059,"#Person1#: 아이고, 지난 3개월 동안 10파운드나 쪘어, 옷들이 하나도 안 맞아.
#Person2#: 나라면 불평하지 않을 거야, 너는 훨씬 더 잘 생겨 보여. 사실, 너는 또 5파운드를 더 찌워도 여전히 잘 보일 거야."
3062,train_3062,"#Person1#: Cathy님의 정원은 항상 너무 아름답습니다. 정원사를 고용하셨나요?
#Person2#: 아뇨, 일을 시키려면 한 달에 최소 50달러는 들어요. 그래서 대부분 제가 직접 하고 있어요. 꽃들을 돌보는 것은 즐겁지만, 잡초를 뽑고 잔디를 자르는 것은 억지로 해야 해요."
